z,residual
8.670000000000000623e-03,-6.595829758406209775e-01
8.999999999999999320e-03,1.674613211354247122e+00
9.209999999999999437e-03,1.425097914561801238e+00
9.209999999999999437e-03,1.083296913405469075e+00
9.310000000000000567e-03,-1.187893469174333916e+00
9.570000000000000381e-03,-5.092383079240562216e-01
9.570000000000000381e-03,-1.841351658605167863e-01
9.579999999999999974e-03,2.892116016524165500e-01
9.660000000000000184e-03,-3.987932858043488071e-01
9.660000000000000184e-03,-3.829515881545270672e-01
9.660000000000000184e-03,-3.142654835694902449e-01
9.790000000000000091e-03,-3.194340819848393020e-01
9.790000000000000091e-03,-1.973355223932219960e-01
9.799999999999999684e-03,2.726819089538525809e-01
9.929999999999999591e-03,7.326071852643781940e-03
9.929999999999999591e-03,3.041883448044858107e-01
9.979999999999999288e-03,-1.376096988180292302e-01
9.979999999999999288e-03,5.385251907401287230e-01
9.979999999999999288e-03,6.112820083770258428e-01
9.979999999999999288e-03,6.669109818240435139e-01
1.029000000000000054e-02,-2.014477857102135783e+00
1.039999999999999952e-02,1.282437223007070637e+00
1.042000000000000044e-02,-1.124436402875653052e+00
1.042000000000000044e-02,4.334752899226222422e-01
1.047999999999999973e-02,-2.078183847475048307e-01
1.048999999999999932e-02,6.298455109616220016e-01
1.048999999999999932e-02,3.901661925801845898e-01
1.050000000000000065e-02,-1.325772080056136559e+00
1.050000000000000065e-02,-1.227483648683304951e+00
1.050000000000000065e-02,-8.579410210774778278e-01
1.051000000000000024e-02,-9.340743892201269771e-01
1.051000000000000024e-02,-9.708595197266094434e-01
1.095999999999999926e-02,1.561942626012512658e+00
1.095999999999999926e-02,5.351895140477260782e-01
1.095999999999999926e-02,6.543784607206831749e-01
1.141999999999999960e-02,1.449456379023244867e+00
1.167999999999999941e-02,2.525691387782549868e-01
1.188999999999999953e-02,4.375050583857919562e-01
1.220000000000000077e-02,7.946421770888307812e-01
1.220000000000000077e-02,8.313496385638805553e-01
1.221999999999999996e-02,1.877490271040554437e-01
1.221999999999999996e-02,1.651366512597934044e-01
1.238000000000000038e-02,5.399355398863748823e-01
1.238000000000000038e-02,2.984923218246158250e-01
1.243999999999999967e-02,5.359684023602946379e-01
1.247000000000000018e-02,8.746193259802555187e-02
1.247000000000000018e-02,-1.760195717666279414e-01
1.260000000000000009e-02,9.098440394750066940e-01
1.274999999999999918e-02,7.649698268816458313e-01
1.288000000000000082e-02,1.095287416307383133e+00
1.288000000000000082e-02,1.165772501981086728e+00
1.288000000000000082e-02,9.491970654571363353e-01
1.306000000000000043e-02,-1.026457327965299288e-01
1.306000000000000043e-02,-4.928613692916595235e-01
1.308999999999999921e-02,2.688707494455729874e-01
1.308999999999999921e-02,3.122019180917273706e-01
1.314000000000000064e-02,2.960990177521268252e-01
1.333999999999999943e-02,-7.038077990170553688e-01
1.333999999999999943e-02,-9.205498836469813151e-01
1.359999999999999924e-02,1.516807232919021586e-01
1.359999999999999924e-02,5.775995742844241415e-02
1.359999999999999924e-02,7.272485152074356640e-02
1.361000000000000057e-02,-2.384914798652968404e-01
1.386000000000000079e-02,7.236508956817253591e-01
1.386000000000000079e-02,6.485284393055864571e-01
1.400000000000000029e-02,-4.553347877969506075e-02
1.400000000000000029e-02,-5.177129685389352254e-01
1.401999999999999948e-02,1.110305750263705649e-01
1.405999999999999958e-02,-2.883558318321480587e-02
1.406999999999999917e-02,-1.924700641606748031e-01
1.416000000000000071e-02,2.678165125284406312e-01
1.420000000000000082e-02,1.324563549753662306e-01
1.422000000000000000e-02,2.977712997838892761e-01
1.423999999999999919e-02,-4.275008336536827158e-02
1.429000000000000062e-02,-1.863386745148759849e-01
1.434000000000000032e-02,-7.464012157124852997e-01
1.447999999999999982e-02,-3.457101712470212352e-03
1.448999999999999941e-02,7.949375312095462442e-01
1.456999999999999962e-02,-7.093532302589893312e-01
